"article_title","category","slug","route","url","pinterest_title","pinterest_description","image_file","image_origin","status"
"Why Is My AC Vent Sweating?","hvac","ac-vent-sweating","/hvac/ac-vent-sweating/","https://myhouseisdoingwhat.com/hvac/ac-vent-sweating/","Why Your AC Vent Is Sweating and What to Check","Learn why humid air can condense on a cold supply register, how localized insulation and broader indoor humidity differ, and when actual dripping points to another issue.","hvac/ac-vent-sweating/pin.webp","lightly adapted","ready"
"Why Is Water Dripping From My AC Vent?","hvac","water-dripping-from-ac-vent","/hvac/water-dripping-from-ac-vent/","https://myhouseisdoingwhat.com/hvac/water-dripping-from-ac-vent/","Water Dripping From an AC Vent? Start With These Clues","Trace whether drops are forming at the vent or arriving from condensate, roof, or plumbing trouble. This guide shows safe clues to note before calling the right professional.","hvac/water-dripping-from-ac-vent/pin.webp","newly created","ready"
"Why Is My House Humid With the AC Running?","hvac","house-humid-with-ac-running","/hvac/house-humid-with-ac-running/","https://myhouseisdoingwhat.com/hvac/house-humid-with-ac-running/","House Still Humid With the AC Running? Check These Clues","See how short cycles, fan settings, outdoor air, duct leakage, airflow, and indoor moisture sources can leave a cooled home feeling humid, plus the observations that help narrow it down.","hvac/house-humid-with-ac-running/pin.webp","lightly adapted","ready"
"Why Is My AC Ductwork Sweating in the Attic?","hvac","ac-ductwork-sweating-in-attic","/hvac/ac-ductwork-sweating-in-attic/","https://myhouseisdoingwhat.com/hvac/ac-ductwork-sweating-in-attic/","Why Attic AC Ductwork Sweats in Humid Weather","Understand how humid attic air, cold duct surfaces, insulation gaps, and air leakage can create condensation, and how to distinguish sweating ducts from roof, plumbing, or drain leaks.","hvac/ac-ductwork-sweating-in-attic/pin.webp","lightly adapted","ready"
"Why Is There Water Around My Indoor AC Unit?","hvac","water-around-indoor-ac-unit","/hvac/water-around-indoor-ac-unit/","https://myhouseisdoingwhat.com/hvac/water-around-indoor-ac-unit/","Water Around Your Indoor AC Unit? Trace the Source","Use the water's location and timing to compare a clogged condensate drain, overflowing pan, thawing coil, pump trouble, or a nearby non-HVAC leak before choosing the right help.","hvac/water-around-indoor-ac-unit/pin.webp","lightly adapted","ready"
"Why Is My AC Filter Wet?","hvac","ac-filter-wet","/hvac/ac-filter-wet/","https://myhouseisdoingwhat.com/hvac/ac-filter-wet/","A Wet AC Filter Is a Clue: Here's What to Check","A wet filter can point to condensate overflow, thawing ice, local condensation, air leakage, or another water source. Start with filter location and the pattern of moisture.","hvac/ac-filter-wet/pin.webp","lightly adapted","ready"
"Why Does My Toilet Gurgle Randomly?","plumbing","toilet-gurgles-randomly","/plumbing/toilet-gurgles-randomly/","https://myhouseisdoingwhat.com/plumbing/toilet-gurgles-randomly/","Random Toilet Gurgling? Look for a Hidden Trigger","Learn why an apparently random toilet gurgle may follow hidden fixture use, pressure changes, a partial drain restriction, venting trouble, or a developing sewer or septic issue.","plumbing/toilet-gurgles-randomly/pin.webp","lightly adapted","ready"
"Why Does My Toilet Water Rise When Another Toilet Flushes?","plumbing","toilet-water-rises-when-another-toilet-flushes","/plumbing/toilet-water-rises-when-another-toilet-flushes/","https://myhouseisdoingwhat.com/plumbing/toilet-water-rises-when-another-toilet-flushes/","Why One Toilet Rises When Another Toilet Flushes","See why connected toilets can affect one another through shared drainage, which bowl-water changes are more concerning, and when the pattern suggests a branch or larger downstream issue.","plumbing/toilet-water-rises-when-another-toilet-flushes/pin.webp","lightly adapted","ready"
"Why Does My Shower Drain Gurgle When the Toilet Flushes?","plumbing","shower-drain-gurgles-when-toilet-flushes","/plumbing/shower-drain-gurgles-when-toilet-flushes/","https://myhouseisdoingwhat.com/plumbing/shower-drain-gurgles-when-toilet-flushes/","Why the Shower Gurgles When You Flush the Toilet","A toilet flush can move air around a connected shower trap when drainage is restricted or venting is ineffective. Learn how sound-only gurgling differs from visible wastewater backup.","plumbing/shower-drain-gurgles-when-toilet-flushes/pin.webp","lightly adapted","ready"
"Why Do Multiple Drains Back Up at the Same Time?","plumbing","multiple-drains-back-up-at-same-time","/plumbing/multiple-drains-back-up-at-same-time/","https://myhouseisdoingwhat.com/plumbing/multiple-drains-back-up-at-same-time/","Several Drains Backing Up? What the Pattern Means","When several fixtures slow, gurgle, rise, or back up together, shared downstream piping matters. Compare branch, building-drain, sewer, and septic clues and know when to stop using water.","plumbing/multiple-drains-back-up-at-same-time/pin.webp","lightly adapted","ready"
"Why Does My Toilet Bubble When the Washer Drains?","plumbing","toilet-bubbles-when-washer-drains","/plumbing/toilet-bubbles-when-washer-drains/","https://myhouseisdoingwhat.com/plumbing/toilet-bubbles-when-washer-drains/","Why the Toilet Bubbles When the Washer Drains","Washing-machine discharge can expose a partial shared-drain restriction or pressure problem at the toilet. Learn which fixture, timing, vent, sewer, and backup clues matter most.","plumbing/toilet-bubbles-when-washer-drains/pin.webp","lightly adapted","ready"
"Why Is My Dryer Taking Two Cycles?","appliances","dryer-taking-two-cycles","/appliances/dryer-taking-two-cycles/","https://myhouseisdoingwhat.com/appliances/dryer-taking-two-cycles/","Dryer Taking Two Cycles? Check Airflow First","Long drying times can come from restricted exhaust airflow, oversized loads, overly wet clothes, sensor trouble, or inadequate heat. Use the pattern to decide what to check safely.","appliances/dryer-taking-two-cycles/pin.webp","lightly adapted","ready"
"Why Does My Dryer Smell Like It’s Burning?","appliances","dryer-smells-like-burning","/appliances/dryer-smells-like-burning/","https://myhouseisdoingwhat.com/appliances/dryer-smells-like-burning/","Dryer Smells Burned? Know When to Stop Using It","Compare hot-lint, rubber, electrical, and contaminated-load odors, learn how restricted exhaust can raise heat, and recognize the smoke, sparking, scorching, or overheating signs that mean stop.","appliances/dryer-smells-like-burning/pin.webp","lightly adapted","ready"
"Why Is My Dishwasher Not Drying Dishes?","appliances","dishwasher-not-drying-dishes","/appliances/dishwasher-not-drying-dishes/","https://myhouseisdoingwhat.com/appliances/dishwasher-not-drying-dishes/","Why Dishwasher Loads Stay Wet After the Cycle","Wet plastics can be normal, while a suddenly wet whole load may involve rinse aid, cycle settings, loading, water temperature, or model-specific heating and venting systems.","appliances/dishwasher-not-drying-dishes/pin.webp","lightly adapted","ready"
"Why Is My Dishwasher Not Cleaning Dishes?","appliances","dishwasher-not-cleaning-dishes","/appliances/dishwasher-not-cleaning-dishes/","https://myhouseisdoingwhat.com/appliances/dishwasher-not-cleaning-dishes/","Dishes Still Dirty After a Cycle? Check These Clues","Use the soil pattern to check loading, spray paths, filters, spray arms, detergent, cycles, and water conditions without turning a cleaning problem into unsafe appliance disassembly.","appliances/dishwasher-not-cleaning-dishes/pin.webp","lightly adapted","ready"
"Why Does My Garage Smell Musty?","moisture-and-mold","garage-smells-musty","/moisture-and-mold/garage-smells-musty/","https://myhouseisdoingwhat.com/moisture-and-mold/garage-smells-musty/","Musty Garage Smell? Trace the Moisture Source","A musty garage odor can come from damp storage, humidity, tracked-in water, leaks, slab moisture, or a drain. Use location and timing to find the likely moisture source without assuming mold.","moisture-and-mold/garage-smells-musty/pin.webp","newly created","ready"
"Why Is My Outlet Warm?","electrical","outlet-warm","/electrical/outlet-warm/","https://myhouseisdoingwhat.com/electrical/outlet-warm/","Warm Electrical Outlet? Know the Warning Signs","Learn how heat from a plugged-in device differs from abnormal receptacle or wiring heat, what discoloration, odor, buzzing, or loose fit can mean, and when to stop using the outlet.","electrical/outlet-warm/pin.webp","newly created","ready"
"Why Do My Lights Flicker When an Appliance Turns On?","electrical","lights-flicker-when-appliance-turns-on","/electrical/lights-flicker-when-appliance-turns-on/","https://myhouseisdoingwhat.com/electrical/lights-flicker-when-appliance-turns-on/","Lights Flicker When an Appliance Starts? What It Means","A slight startup dip can occur with some motors, but severe, repeated, widespread, or bright-and-dim changes deserve attention. Use the affected rooms and warning signs to judge the next step.","electrical/lights-flicker-when-appliance-turns-on/pin.webp","lightly adapted","ready"
"Why Does My Outlet Buzz?","electrical","outlet-buzzing","/electrical/outlet-buzzing/","https://myhouseisdoingwhat.com/electrical/outlet-buzzing/","Buzzing Outlet or Noisy Charger? Find the Source","First learn whether the sound follows a charger or comes from the receptacle. Then compare faint hum with concerning buzzing, sizzling, warmth, looseness, discoloration, or intermittent power.","electrical/outlet-buzzing/pin.webp","lightly adapted","ready"
"Why Does My Toilet Whistle After Flushing?","plumbing","toilet-whistles-after-flushing","/plumbing/toilet-whistles-after-flushing/","https://myhouseisdoingwhat.com/plumbing/toilet-whistles-after-flushing/","Why Your Toilet Whistles While the Tank Refills","The timing of a toilet whistle can separate refill-side noise from a drain sound. Learn how fill speed, shutoff behavior, valve condition, and other-fixture clues help narrow the cause.","plumbing/toilet-whistles-after-flushing/pin.webp","newly created","ready"
"Why Is There Water Under My Water Heater?","plumbing","water-under-water-heater","/plumbing/water-under-water-heater/","https://myhouseisdoingwhat.com/plumbing/water-under-water-heater/","Water Under the Water Heater? Find the Source","Trace the highest wet point to compare connection, drain-valve, relief-valve, condensate, nearby-fixture, and tank leak possibilities, with clear stop conditions for hot water and gas or electrical hazards.","plumbing/water-under-water-heater/pin.webp","lightly adapted","ready"
"Why Does My Ceiling Fan Wobble?","electrical","ceiling-fan-wobbles","/electrical/ceiling-fan-wobbles/","https://myhouseisdoingwhat.com/electrical/ceiling-fan-wobbles/","Ceiling Fan Wobbling? Check Blades and Mounting","Learn how blade-set imbalance differs from movement at the ceiling attachment, which speed and noise patterns are useful, and when to stop the fan and seek qualified mounting or electrical help.","electrical/ceiling-fan-wobbles/pin.webp","lightly adapted","ready"
