topic,target_query,category,symptom,location,intent,status,priority,existing_url,notes
AC vent sweating,why is my ac vent sweating,hvac,moisture,whole-house,diagnostic,published,high,/hvac/ac-vent-sweating/,Canonical published topic
Water dripping from AC vent,why is water dripping from my ac vent,hvac,leaking,living-area,diagnostic,published,high,/hvac/water-dripping-from-ac-vent/,Distinct from surface sweating; covers falling droplets and HVAC versus roof or plumbing source identification
Toilet bubbles when washer drains,toilet bubbles when washer drains,plumbing,clogging,bathroom,diagnostic,published,high,/plumbing/toilet-bubbles-when-washer-drains/,Canonical published topic
Dryer takes two cycles,dryer taking two cycles,appliances,heat,laundry,diagnostic,published,high,/appliances/dryer-taking-two-cycles/,Canonical published topic
Garage smells musty,musty smell in garage,moisture-and-mold,smell,garage,diagnostic,published,high,/moisture-and-mold/garage-smells-musty/,Canonical published topic
Warm outlet,why is my outlet warm,electrical,heat,whole-house,safety,published,high,/electrical/outlet-warm/,Canonical published topic
Toilet whistles,toilet whistles after flushing,plumbing,noise,bathroom,diagnostic,published,medium,/plumbing/toilet-whistles-after-flushing/,Canonical published topic
Water under water heater,water under water heater,plumbing,leaking,garage,safety,published,high,/plumbing/water-under-water-heater/,Canonical published topic
Ceiling fan wobbles,why does my ceiling fan wobble,electrical,vibration,living-area,diagnostic,published,medium,/electrical/ceiling-fan-wobbles/,Canonical published topic
AC makes bubbling sound,ac makes bubbling noise,hvac,noise,whole-house,diagnostic,planned,medium,,Distinguish condensate from refrigerant sounds
AC smells like vinegar,ac smells like vinegar,hvac,smell,whole-house,diagnostic,planned,medium,,Needs careful odor cause language
AC runs but house stays humid,why is my house humid with the ac running,hvac,moisture,whole-house,diagnostic,published,high,/hvac/house-humid-with-ac-running/,Whole-home comfort and moisture intent; distinct from wet-vent symptoms and any future deeper equipment-performance guide
AC ductwork sweating in attic,why is my ac ductwork sweating in the attic,hvac,moisture,attic,diagnostic,published,high,/hvac/ac-ductwork-sweating-in-attic/,Attic duct exterior condensation intent; distinct from whole-house humidity and room-side vent condensation
Water around indoor AC unit,why is there water around my indoor ac unit,hvac,leaking,whole-house,diagnostic,published,high,/hvac/water-around-indoor-ac-unit/,Indoor-equipment condensate and drainage intent; distinct from vent water and future recurring drain-clog maintenance
AC smells musty when it turns on,why does my ac smell musty when it turns on,hvac,smell,whole-house,diagnostic,planned,high,,HVAC odor and moisture cluster
